----------------------------oping (cycle)
's': Emergency Stop and reset
cted single cycle time: 0m 8s 100ms
Available commands:
'l': Start continuous looping (cycle)
's': Emergency Stop and reset
-------------------------------------
4D Phantom Controller Initializing...
Expected single cycle time: 0m 8s 100ms
Available commands:
'l': Start continuous looping (cycle)
's': Emergency Stop and reset
Starting 4-axis synchronized cycle loop...
Time(ms), M1(SI) Target Steps, M2(Lat) Target Steps, M3(AP) Target Steps, M4(Chest) Target Steps, M3 Encoder Steps
36325, 79, 346, -177, 300, -73
36426, 62, 308, -154, 270, -66
36527, 45, 270, -131, 240, -59
36628, 28, 232, -108, 210, -52
36729, 11, 194, -84, 180, -45
36830, -6, 156, -61, 150, -39
36931, -23, 118, -38, 125, -33
37032, -40, 80, -15, 100, -27
37135, -35, 70, -13, 80, -21
37236, -30, 60, -11, 60, -16
37337, -25, 50, -9, 45, -12
37438, -20, 40, -8, 30, -8
37539, -15, 30, -6, 20, -5
37640, -10, 20, -4, 10, -3
37741, 0, 0, 0, 0, 0
37842, -5, 31, -1, 10, 0
37943, -10, 62, -1, 20, -3
38044, -15, 93, -2, 35, -6
38145, -20, 124, -3, 50, -9
38246, -25, 155, -3, 70, -12
38347, -30, 186, -4, 90, -16
38448, -35, 217, -4, 110, -20
38549, -40, 248, -5, 130, -23
38650, -44, 258, -16, 155, -28
38751, -48, 268, -28, 180, -32
38852, -52, 278, -39, 210, -37
38953, -56, 288, -50, 240, -42
39055, -60, 298, -61, 270, -47
39156, -64, 308, -73, 300, -53
39257, -68, 318, -84, 320, -59
39358, -72, 328, -95, 340, -63
39459, -51, 327, -102, 365, -68
39560, -30, 326, -109, 390, -73
39661, -9, 325, -116, 420, -78
39762, 12, 324, -123, 450, -84
39863, 33, 323, -129, 485, -89
39964, 54, 322, -136, 520, -96
40065, 75, 321, -143, 565, -102
40166, 96, 320, -150, 610, -109
40267, 85, 321, -189, 635, -117
40368, 74, 322, -229, 660, -123
40469, 63, 323, -268, 680, -129
40570, 52, 324, -308, 700, -135
40671, 41, 325, -347, 715, -139
40772, 30, 326, -386, 730, -143
40873, 19, 327, -426, 740, -147
40975, 8, 328, -465, 750, -149
41076, 10, 341, -459, 770, -152
41177, 12, 354, -453, 790, -156
41278, 14, 367, -446, 800, -159
41379, 16, 380, -440, 810, -162
41480, 18, 393, -434, 815, -163
41581, 20, 406, -428, 820, -164
41682, 22, 419, -421, 825, -165
41783, 24, 432, -415, 830, -166
41884, 20, 430, -351, 840, -168
41985, 16, 428, -288, 850, -170
42086, 12, 426, -224, 855, -171
42187, 8, 424, -160, 860, -172
42288, 4, 422, -96, 865, -173
42389, 0, 420, -33, 870, -174
42490, -4, 418, 31, 880, -176
42591, -8, 416, 95, 890, -178
42692, -8, 416, 95, 890, -178
42793, -8, 416, 95, 890, -178
42895, 3, 411, 53, 875, -176
42996, 14, 406, 10, 860, -173
43097, 25, 401, -33, 840, -170
43198, 36, 396, -75, 820, -166
43299, 47, 391, -118, 795, -162
43400, 58, 386, -160, 770, -158
43501, 69, 381, -203, 735, -153
43602, 80, 376, -245, 700, -147
43703, 82, 377, -239, 650, -141
43804, 84, 378, -234, 600, -133
43905, 86, 379, -228, 555, -126
44006, 88, 380, -223, 510, -117
44107, 90, 381, -217, 450, -109
44208, 92, 382, -211, 390, -99
44309, 94, 383, -206, 360, -90
44410, 96, 384, -200, 330, -81
44511, 79, 346, -177, 300, -74
44612, 62, 308, -154, 270, -66
44715, 45, 270, -131, 240, -59
44816, 28, 232, -108, 210, -52
44917, 11, 194, -84, 180, -45
45018, -6, 156, -61, 150, -39
45119, -23, 118, -38, 125, -33
45220, -40, 80, -15, 100, -27
45321, -35, 70, -13, 80, -21
45422, -30, 60, -11, 60, -16
45523, -25, 50, -9, 45, -12
45624, -20, 40, -8, 30, -8
45725, -15, 30, -6, 20, -5
