-------------------------------------ping (cycle)
's': Emergency Stop and reset
cted single cycle time: 0m 8s 100ms
Available commands:
'l': Start continuous looping (cycle)
's': Emergency Stop and reset
-------------------------------------
4D Phantom Controller Initializing...
Expected single cycle time: 0m 8s 100ms
Available commands:
'l': Start continuous looping (cycle)
's': Emergency Stop and reset
Starting 4-axis synchronized cycle loop...
Time(ms), M1(SI) Target Steps, M2(Lat) Target Steps, M3(AP) Target Steps, M4(Chest) Target Steps, M3 Encoder Steps
39514, 58, 386, -160, 770, -8
39615, 69, 381, -203, 735, -11
39716, 80, 376, -245, 700, -13
39817, 82, 377, -239, 650, -14
39918, 84, 378, -234, 600, -14
40019, 86, 379, -228, 555, -15
40120, 88, 380, -223, 510, -15
40221, 90, 381, -217, 450, -15
40322, 92, 382, -211, 390, -16
40423, 94, 383, -206, 360, -16
40524, 96, 384, -200, 330, -17
40625, 79, 346, -177, 300, -15
40726, 62, 308, -154, 270, -12
40827, 45, 270, -131, 240, -9
40928, 28, 232, -108, 210, -5
41029, 11, 194, -84, 180, -2
41131, -6, 156, -61, 150, 2
41232, -23, 118, -38, 125, 5
41333, -40, 80, -15, 100, 8
41434, -35, 70, -13, 80, 10
41535, -30, 60, -11, 60, 9
41636, -25, 50, -9, 45, 8
41737, -20, 40, -8, 30, 7
41838, -15, 30, -6, 20, 6
41939, -10, 20, -4, 10, 5
42040, 0, 0, 0, 0, 3
42141, -5, 31, -1, 10, 4
42242, -10, 62, -1, 20, 5
42343, -15, 93, -2, 35, 6
42444, -20, 124, -3, 50, 7
42545, -25, 155, -3, 70, 8
42646, -30, 186, -4, 90, 9
42747, -35, 217, -4, 110, 10
42848, -40, 248, -5, 130, 11
42949, -44, 258, -16, 155, 12
43051, -48, 268, -28, 180, 13
43152, -52, 278, -39, 210, 14
43253, -56, 288, -50, 240, 15
43354, -60, 298, -61, 270, 15
43455, -64, 308, -73, 300, 16
43556, -68, 318, -84, 320, 17
43657, -72, 328, -95, 340, 18
43758, -51, 327, -102, 365, 16
43859, -30, 326, -109, 390, 13
43960, -9, 325, -116, 420, 9
