-------------------------------------
ng (cycle)
's': Emergency Stop and reset
cted single cycle time: 0m 8s 100ms
Available commands:
'l': Start continuous looping (cycle)
's': Emergency Stop and reset
-------------------------------------
4D Phantom Controller Initializing...
Expected single cycle time: 0m 8s 100ms
Available commands:
'l': Start continuous looping (cycle)
's': Emergency Stop and reset
Starting 4-axis synchronized cycle loop...
Time(ms), M1(SI) Target Steps, M2(Lat) Target Steps, M3(AP) Target Steps, M4(Chest) Target Steps, M3 Encoder Steps
29270, -9, 325, -116, 420, -60
29371, 12, 324, -123, 450, -60
29472, 33, 323, -129, 485, -60
29573, 54, 322, -136, 520, -60
29674, 75, 321, -143, 565, -59
29775, 96, 320, -150, 610, -59
29876, 85, 321, -189, 635, -59
29977, 74, 322, -229, 660, -59
30078, 63, 323, -268, 680, -59
30180, 52, 324, -308, 700, -60
30281, 41, 325, -347, 715, -60
30382, 30, 326, -386, 730, -60
30483, 19, 327, -426, 740, -60
30584, 8, 328, -465, 750, -60
30685, 10, 341, -459, 770, -62
30786, 12, 354, -453, 790, -65
30887, 14, 367, -446, 800, -67
30988, 16, 380, -440, 810, -70
31089, 18, 393, -434, 815, -72
31190, 20, 406, -428, 820, -75
31291, 22, 419, -421, 825, -78
31392, 24, 432, -415, 830, -80
31493, 20, 430, -351, 840, -81
31594, 16, 428, -288, 850, -80
31695, 12, 426, -224, 855, -79
31796, 8, 424, -160, 860, -79
31897, 4, 422, -96, 865, -79
31998, 0, 420, -33, 870, -78
32100, -4, 418, 31, 880, -78
32201, -8, 416, 95, 890, -77
32301, -8, 416, 95, 890, -77
32401, -8, 416, 95, 890, -77
32502, 3, 411, 53, 875, -76
32603, 14, 406, 10, 860, -75
32704, 25, 401, -33, 840, -75
32805, 36, 396, -75, 820, -73
32906, 47, 391, -118, 795, -72
33007, 58, 386, -160, 770, -72
33108, 69, 381, -203, 735, -71
33210, 80, 376, -245, 700, -69
33311, 82, 377, -239, 650, -69
33412, 84, 378, -234, 600, -70
33513, 86, 379, -228, 555, -70
33614, 88, 380, -223, 510, -70
33715, 90, 381, -217, 450, -70
33816, 92, 382, -211, 390, -70
33917, 94, 383, -206, 360, -71
34018, 96, 384, -200, 330, -71
34119, 79, 346, -177, 300, -69
34220, 62, 308, -154, 270, -65
34321, 45, 270, -131, 240, -59
34423, 28, 232, -108, 210, -52
34524, 11, 194, -84, 180, -45
34625, -6, 156, -61, 150, -38
34726, -23, 118, -38, 125, -30
34827, -40, 80, -15, 100, -23
34928, -35, 70, -13, 80, -16
35030, -30, 60, -11, 60, -11
35131, -25, 50, -9, 45, -7
35232, -20, 40, -8, 30, -4
35333, -15, 30, -6, 20, -1
35434, -10, 20, -4, 10, 1
35535, 0, 0, 0, 0, 4
35636, -5, 31, -1, 10, 6
35737, -10, 62, -1, 20, 4
35838, -15, 93, -2, 35, 0
35940, -20, 124, -3, 50, -6
36041, -25, 155, -3, 70, -13
36142, -30, 186, -4, 90, -20
36243, -35, 217, -4, 110, -27
36344, -40, 248, -5, 130, -34
36445, -44, 258, -16, 155, -40
36546, -48, 268, -28, 180, -44
36647, -52, 278, -39, 210, -48
36748, -56, 288, -50, 240, -50
36849, -60, 298, -61, 270, -53
36950, -64, 308, -73, 300, -55
37051, -68, 318, -84, 320, -57
37152, -72, 328, -95, 340, -59
37253, -51, 327, -102, 365, -59
37354, -30, 326, -109, 390, -58
37455, -9, 325, -116, 420, -58
37556, 12, 324, -123, 450, -58
37657, 33, 323, -129, 485, -58
37758, 54, 322, -136, 520, -58
37860, 75, 321, -143, 565, -57
37961, 96, 320, -150, 610, -57
38062, 85, 321, -189, 635, -57
38163, 74, 322, -229, 660, -57
38264, 63, 323, -268, 680, -57
38365, 52, 324, -308, 700, -58
38466, 41, 325, -347, 715, -58
38567, 30, 326, -386, 730, -58
38668, 19, 327, -426, 740, -58
38769, 8, 328, -465, 750, -58
38870, 10, 341, -459, 770, -60
38971, 12, 354, -453, 790, -63
39072, 14, 367, -446, 800, -65
39173, 16, 380, -440, 810, -68
39274, 18, 393, -434, 815, -70
39375, 20, 406, -428, 820, -73
39476, 22, 419, -421, 825, -76
39577, 24, 432, -415, 830, -78
39678, 20, 430, -351, 840, -79
39780, 16, 428, -288, 850, -78
39881, 12, 426, -224, 855, -77
